EDITION;YEAR;HEADLINERS
11th;2011; Caribou, Echo & The Bunnymen, Comet Gain, Nisennenmondai, Mercury Rev, BMX Bandits, My Teenage Stride, Me and the Bees, Nick Cave, Grinderman,  Belle And Sebastian,The Flaming Lips,  Pj Harvey, Jarvis Cocker,  The Monochrome Set,  Pere Ubu,  P.I.L.,  John Cale, James Blake, Twin Shadow , Sonny & The Sunsets, Big Boi, Of Montreal,  Lüger, Toundra,  Violet Lades, Desmond, Vistalegre, Darren Hayman , Eli Paperboy Reed
12th;2012; AEROPLANE, AFROCUBISM, ANÍMIC, ARCHERS OF LOAF, BEACH BEACH, BEIRUT, BENGA (LIVE), BIGOTT, BJÖRK, BLACK LIPS, CHAVEZ, CHRISTINA ROSENVINGE, THE CURE, DEATH CAB FOR CUTIE – DEATH GRIPS, DEATH IN VEGAS, DIRTY BEACHES, THE DRUMS, EROL ALKAN, FATHER JOHN MISTY, THE FIELD, FIELD MUSIC, FOREST SWORDS, FRANZ FERDINAND, GIRLS, GODFLESH, GRIMES, HARVEY MILK, HYPE WILLIAMS, I BREAK HORSES, ICEAGE, JAMES FERRARO, JAPANDROIDS, JEREMY JAY, JOE CREPÚSCULO, JOHN TALABOT LIVE, JOSH T. PEARSON, JUSTICE LIVE, KINGS OF CONVENIENCE, LA ESTRELLA DE DAVID, LAURA MARLING, MAYHEM, MUJERES, NACHO VEGAS, NEON INDIAN, DEADBOY, SPENCER, ORTHODOX, THE POP GROUP, THE RAPTURE, REAL ESTATE,  REFREE, REFUSED, RUFUS WAINWRIGHT, RUSTIE, SCUBA, SHARON VAN ETTEN, SHELLAC, SPIRITUALIZED, SR. CHINARRO, ST. ETIENNE, TALL FIRS, THEE OH SEES, TRASH TALK, UNICORNIBOT, VERONICA FALLS, THE WAR ON DRUGS, WASHED OUT, WAVVES, WHITE DENIM, WILCO, THE XX, YANN TIERSEN, YO LA TENGO
13th;2013; The Postal Service, Phoenix, Tame Impala, Nick Cave & The Bad Seeds, The Jesus & Mary Chain, The Knife, My Bloody Valentine, Animal Collective, Grizzly Bear, Fiona Apple, Los Planetas,  Blur, Dinosaur Jr, Band of Horses, Deerhunter, Hot Chip, James Blake, Simian Mobile Disco, Crystal Castles, The Vaccines, Guards, Local Natives, Dead Can Dance, Shellac, Swans, Jessie Ware, Dan Deacon, Fuck Buttons, Neko Case, Solange, Four Tet, Rodríguez, Apparat, John Talabot, Extraperlo, Toundra, Hydrogenesse, Pony Bravo, Guadalupe Plata, La Bien Querida, Manel, Antonia Font, Aliment, Delorean
14th;2014;Arcade Fire , Pixies, The National, Neutral Milk Hotel , Charles Bradley, Disclosure, Kendrick Lamar, Nine Inch Nails, el brasileño Caetano Veloso, Queens Of The Stone Age, Future Islands, St. Vincent,  Antibalas,  Touché Amoré,  Deafheaven, Sun Ra Arkestra, Wolf Eyes , Darkside, s Laurent Garnier, Julio Bashmore,  Moderat, The Haxan Cloak, John Talabot, Ángel Molina, Dj Fra, Dj Zero, Pional, Shelby Grey, Dj Coco,  Dr. John and The Nite Trippers,  Julian Cope,  Joana Serrat, Oso Leone, Jupiter Lion, El Último Vecino
15th;2015; The Strokes, Underworld, Einstürzende Neubauten, Tori Amos, Antony and The Johnson, Patti Smith,  JUNGLE,  Chet Faker,  Salif Keita Les Ambassadeurs, Rocío Márquez , Refree ,  Pepe Habichuela, Arthur Russel’s Instrumentals, Sunn O))), Richie Hawtin, Dixon, Andrew Weatherall, Caribou, The Juan MacLean , Dan Deacon,  Tyler, The Creator, Run The Jewels, Shabazz Palaces,  Nueva Vulcano, Christina Rosenvinge ,  MOURN,Núria Graham, Der Panther, The Suicide Of Western Culture, el metal de Exxasens ,  Los Punsetes, Sr. Chinarro , Neleonard
16th;2016; Tame Impala, Sigur Rós, Animal Collective, Beach House, the Last Shadow Puppets, Brian Wilson (performing Pet Sounds), John Carpenter, Pusha T, Neon Indian, Ty Segall and the Muggers, Julia Holter, Savages, Air, Action Bronson, Vince Staples, Explosions in the Sky, Moderat, Drive Like Jehu, Dinosaur Jr., Deerhunter, Chairlift, Kamasi Washington, Battles, Thee Oh Sees, Holly Herndon, Protomartyr, Sheer Mag, DJ Koze, Empress Of, Beirut, Dâm-Funk, Parquet Courts, Shellac, Hudson Mohawke (DJ), Floating Points, Titus Andronicus, Nao, Freddie Gibbs, U.S. Girls, Black Lips, Evian Christ, Beak>, Jenny Hval, Royal Headache, Car Seat Headrest, Wild Nothing, Mudhoney, Cass McCombs, Tortoise, Suede, Downtown Boys, Alex G, Jay Rock, the Chills, Moses Sumney, Dungen, DJ Richard, White Fence
17th;2017;The xx, Bon Iver, Arcade Fire,  Cigarettes After Sex , Les Sueques , Let´s Eat Grandma, 7 Notas 7 Colores, Anímic , Elmini, Formation, Gordi, Kate Tempest, Local Natives , Marc Piñol ,No Zu , Retirada! , Saint Etienne , The Wedding Present , The Afghan Whigs, Alexandra Savior, Annette Peacock, Aphex Twin, Aries, Aurora Halal, BADBADNOTGOOD, Ben UFO, Bíceps, The Black Angels, Bon Iver, Broken Social Scene, Converge, Cymbals Eat Guitars, The Damned, Death Grips, Discos Paradiso Crew, Elza Soares, Fatima Yamaha, Glass Animals, Gojira, Henrik Schwarz, Joy Orbison, Julia Jacklin, Kate Tempest, Kevin Morby, King Gizzard & The Lizard Wizard, Kokoshca, Lord Of The Isles, Matrixxman, Miguel, Mishima, The Molochs, Nots, Pearson Sound, Slayer, Solange, Soledad Vélez,  Triángulo de Amor Bizarro,  The Zombies perform “Odessey & Oracle”, Front 242, The xx, Jamie xx,  Arcade Fire , John Talabot, Metronomy , Museless, Rosalía & Raül Refree “Los Ángeles” , Van Morrison
18th;2018;Lorde, Björk, The National, Nick Cave and The Bad Seeds, Father John Misty, Migos, The War on Drugs, Chvrches, A$AP Rocky, Jane Birkin, Belle and Sebastian, Javiera Mena, Starcrawler, Wolfparade, Yung Beef, Warpaint, Björk , Chvrches, Amaia, Mogwai, Thundercat, Charlotte Gainsbourg, Father John Misty, Arctic Monkeys, Christina Rosenvinge, Lorde, Lykke Li, Beach House, Texxcoco, Joe Goddard, Ariel Pink , Oblivians,
19th;2019;Interpol, Charli XCX, Nina Kraviz, Tame Impala, Miley Cyrus, Janelle Monáe, Carly Rae Jepsen, Suede, Solange, J Balvin, Rosalía, Primal Scream, James Blake,  Pavvla, Lidia Damunt, Putochinomaricón, Cupido, Yung Beef, Cariño , Las Odio , Erykah Badu, Charlie XCX , Ninna kraviz, Miley Cyrus, Janelle Monàe, Tame Impala, Jungle, Suede, J Balvin, Rosalía, Solange, James Blake, Primal Scream, Nathy Peluso, Christina Rosenvinge , Cupido, DJ Coco
20th;2022;Massive Attack, Pavement, Tame Impala, The National, 100 GECS, Bad Gyal, Black Lips, Black Midi, Charlie XCX, Cigarretes After Sex, Dinosaur JR, Dj Shadow, Girl In Red, Honey Dijon, Kacey Musgraves, Kehlani, Kim Gordon, Mabel, Maria del Mar Bonet, Sharon Van Etten, Soto Asa, Turnstile, Yo la Tengo, Beck, The Strokes, Amaia, Autechre, Bikini Kill, Caribou, Earl Sweatshirt, Fontaines D.c., Jaime XX, Jeff Mills, Warpaint, Gorillaz, Jorja Smith, Nick Cave & The Bad Seeds, Tyler, The Creator, Bahaus, Beach House, Caroline Polacheck, Diiv, Disclosure, Dj Harvey, Dreamcatcher, Duki
